1625237007.063265 client started (73073): version 3.2, socket /private/tmp/tmux-501/default, protocol 8
1625237007.063324 on Darwin 20.4.0 Darwin Kernel Version 20.4.0: Thu Apr 22 21:46:47 PDT 2021; root:xnu-7195.101.2~1/RELEASE_X86_64
1625237007.063352 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1625237007.070325 sending message 105 to peer 0x7fe799d31000 (25 bytes)
1625237007.070335 sending message 105 to peer 0x7fe799d31000 (60 bytes)
1625237007.070345 sending message 105 to peer 0x7fe799d31000 (57 bytes)
1625237007.070359 sending message 105 to peer 0x7fe799d31000 (43 bytes)
1625237007.070377 sending message 105 to peer 0x7fe799d31000 (14 bytes)
1625237007.070394 sending message 105 to peer 0x7fe799d31000 (57 bytes)
1625237007.070411 sending message 105 to peer 0x7fe799d31000 (15 bytes)
1625237007.070429 sending message 105 to peer 0x7fe799d31000 (14 bytes)
1625237007.070446 sending message 105 to peer 0x7fe799d31000 (19 bytes)
1625237007.070462 sending message 105 to peer 0x7fe799d31000 (32 bytes)
1625237007.070478 sending message 105 to peer 0x7fe799d31000 (11 bytes)
1625237007.070494 sending message 105 to peer 0x7fe799d31000 (7 bytes)
1625237007.070509 sending message 105 to peer 0x7fe799d31000 (43 bytes)
1625237007.070525 sending message 105 to peer 0x7fe799d31000 (32 bytes)
1625237007.070540 sending message 105 to peer 0x7fe799d31000 (20 bytes)
1625237007.070552 sending message 105 to peer 0x7fe799d31000 (14 bytes)
1625237007.070565 sending message 105 to peer 0x7fe799d31000 (39 bytes)
1625237007.070575 sending message 105 to peer 0x7fe799d31000 (15 bytes)
1625237007.070584 sending message 105 to peer 0x7fe799d31000 (27 bytes)
1625237007.070592 sending message 105 to peer 0x7fe799d31000 (18 bytes)
1625237007.070601 sending message 105 to peer 0x7fe799d31000 (14 bytes)
1625237007.070610 sending message 105 to peer 0x7fe799d31000 (18 bytes)
1625237007.070618 sending message 105 to peer 0x7fe799d31000 (20 bytes)
1625237007.070627 sending message 105 to peer 0x7fe799d31000 (31 bytes)
1625237007.070635 sending message 105 to peer 0x7fe799d31000 (28 bytes)
1625237007.070644 sending message 105 to peer 0x7fe799d31000 (23 bytes)
1625237007.070653 sending message 105 to peer 0x7fe799d31000 (11 bytes)
1625237007.070662 sending message 105 to peer 0x7fe799d31000 (16 bytes)
1625237007.070670 sending message 105 to peer 0x7fe799d31000 (15 bytes)
1625237007.070679 sending message 105 to peer 0x7fe799d31000 (15 bytes)
1625237007.070687 sending message 105 to peer 0x7fe799d31000 (15 bytes)
1625237007.070696 sending message 105 to peer 0x7fe799d31000 (23 bytes)
1625237007.070715 sending message 105 to peer 0x7fe799d31000 (15 bytes)
1625237007.070724 sending message 105 to peer 0x7fe799d31000 (17 bytes)
1625237007.070733 sending message 105 to peer 0x7fe799d31000 (9 bytes)
1625237007.070744 sending message 105 to peer 0x7fe799d31000 (17 bytes)
1625237007.070754 sending message 105 to peer 0x7fe799d31000 (14 bytes)
1625237007.070762 sending message 105 to peer 0x7fe799d31000 (29 bytes)
1625237007.070771 sending message 105 to peer 0x7fe799d31000 (10 bytes)
1625237007.070784 sending message 105 to peer 0x7fe799d31000 (22 bytes)
1625237007.070795 sending message 106 to peer 0x7fe799d31000 (0 bytes)
1625237007.070824 sending message 200 to peer 0x7fe799d31000 (4 bytes)
1625237007.070844 client loop enter
1625237007.071490 peer 0x7fe799d31000 message 303
1625237007.071515 open write file 2 -
1625237007.071552 sending message 305 to peer 0x7fe799d31000 (8 bytes)
1625237007.071579 write check file 2
1625237007.071654 peer 0x7fe799d31000 message 304
1625237007.071667 write 58 to file 2
1625237007.071690 peer 0x7fe799d31000 message 203
1625237007.071702 file 2 58 bytes left
1625237007.071741 write check file 2
1625237007.071751 client loop exit
